INSERT INTO lives_in VALUES
('6786 Hickory Terrace', '3226899243', '1986-6-8', '2024-4-14', 'Primary'),
('2535 Pine Drive', '2378165883', '2004-9-5', '2024-4-14', 'Primary'),
('5349 Hickory Circle', '8572988700', '1978-1-20', '2024-4-14', 'Primary'),
('3608 Elm Court', '2378165883', '1977-3-5', '2024-4-14', 'Primary'),
('7177 Oak Boulevard', '9310179462', '1970-7-3', '2024-4-14', 'Primary'),
('4360 Spruce Drive', '3909667556', '2009-8-18', '2024-4-14', 'Primary'),
('7181 Hickory Road', '3226899243', '1993-2-15', '2024-4-14', 'Primary'),
('9090 Birch Lane', '4005484204', '1982-2-23', '2024-4-14', 'Primary'),
('9671 Pine Street', '5160690566', '2021-6-27', '2024-4-14', 'Primary'),
('9634 Pine Road', '4755840758', '1990-3-7', '2024-4-14', 'Primary'),
('5880 Elm Avenue', '0824011283', '1986-7-22', '2024-4-14', 'Primary'),
('3961 Elm Circle', '5470872373', '2011-4-20', '2024-4-14', 'Primary'),
('5125 Pine Court', '4755840758', '1999-10-15', '2024-4-14', 'Primary'),
('5593 Cedar Avenue', '5160690566', '1975-3-11', '2024-4-14', 'Primary'),
('5806 Pine Avenue', '8812359867', '2002-7-2', '2024-4-14', 'Primary'),
('5710 Cedar Terrace', '2507633668', '2021-10-9', '2024-4-14', 'Primary'),
('3270 Oak Lane', '2378165883', '2019-7-15', '2024-4-14', 'Primary'),
('3397 Oak Way', '3632796341', '1971-6-23', '2024-4-14', 'Primary'),
('6333 Oak Drive', '2522129852', '1973-9-5', '2024-4-14', 'Primary'),
('8906 Cedar Lane', '8572988700', '2004-4-10', '2024-4-14', 'Primary'),
('9029 Hickory Lane', '8572988700', '1975-10-5', '2024-4-14', 'Primary'),
('5524 Maple Terrace', '0824011283', '1986-9-13', '2024-4-14', 'Primary'),
('4608 Elm Way', '4755840758', '2015-5-15', '2024-4-14', 'Primary'),
('1214 Pine Circle', '9310179462', '2016-8-23', '2024-4-14', 'Primary'),
('5725 Maple Court', '8199791857', '1972-9-25', '2024-4-14', 'Primary'),
('3249 Magnolia Court', '5467963788', '1998-1-4', '2024-4-14', 'Primary'),
('7582 Willow Drive', '8572988700', '2011-8-14', '2024-4-14', 'Primary'),
('1866 Pine Boulevard', '0824011283', '2013-4-12', '2024-4-14', 'Primary'),
('2557 Maple Road', '0824011283', '2021-11-24', '2024-4-14', 'Primary'),
('3723 Oak Avenue', '5160690566', '1994-11-6', '2024-4-14', 'Primary'),
('5593 Cedar Avenue', '5565849465', '2016-10-24', '2020-5-11', 'Secondary'),
('3608 Elm Court', '4250418933', '2021-2-25', '2023-11-8', 'Secondary'),
('8906 Cedar Lane', '7227901279', '2022-8-15', '2023-6-17', 'Secondary'),
('2535 Pine Drive', '7227901279', '2022-3-19', '2022-4-9', 'Secondary'),
('5349 Hickory Circle', '5470872373', '2015-10-27', '2017-10-5', 'Secondary'),
('8906 Cedar Lane', '0824011283', '2023-7-23', '2023-11-14', 'Secondary'),
('2535 Pine Drive', '7249507686', '2021-3-6', '2022-5-25', 'Secondary'),
('4608 Elm Way', '7227901279', '2020-2-22', '2022-7-24', 'Secondary'),
('7582 Willow Drive', '0824011283', '2019-4-11', '2021-4-18', 'Secondary'),
('7181 Hickory Road', '8321192120', '2019-4-6', '2023-11-20', 'Secondary'),
